Names	total	elements
		BECN1
		DDR1
		CYP46A1
		CRYGA
		OLFML1
		VAV1
		PDGFC
		ST18
		GPR15
MTG_GSE5281	1418	RIT2
		LOC101928014
		FAM219A
		PKNOX2
		ATF6B
		C9orf91
		ATP5F1
		KCNG1
		CKAP2 /// DKFZp667J0810 /// IGLC1 /// IGLJ2 /// IGLJ2 /// IGLJ3 /// IGLJ3 /// IGLJ3 /// IGLV1-36 /// IGLV1-36 /// IGLV1-44 /// IGLV1-50 /// IGLV1-50 /// IGLV@
		FAM223A /// FAM223B
		PYCARDOS
		LOC101928881
		LDB3
		ALDOAP2
		TMC4
		MSL1
		UQCR11
		CNGB1
		CCNI
		NTSR1
		SMIM17
		TBX10
		UTY
		CHORDC1
		CTB-92J24.2
		PHYHIP
		LOC728554 /// THOC3
		LEP
		UFSP1
		LHFPL2
		LOC100996654
		CCL22
		UNC45B
		SIGLEC8
		TGM7
		RELT
		ELANE
		LARP7
		EED
		CA11
		RFPL2
		LOC100506098
		HIST3H3
		FOXE1
		CNPY4
		RPS10P2 /// RPS10P2
		RP11-395B7.7
		VAT1L
		MIR6778 /// SHMT1
		HTR7P1
		AC004490.1 /// AX746733
		NTHL1
		LOC101928306
		HS2ST1
		RFX3
		HCRTR2
		BIN3-IT1
		C2orf44
		LOC101060179 /// PRDM11
		PWP2
		PSMD11
		ASS1
		RP11-932O9.4
		FLJ33534
		HSF2
		LOC202181
		ATR
		FAM204A
		RHBDF1
		HTR3A
		SDC2
		KDM2A
		MED27
		ACADL
		IZUMO2
		KRT71
		ABCF2
		TKTL1
		UFL1
		MNX1-AS1
		CAPN12
		DCUN1D5
		PSG4
		LOC401052
		DUX1
		OSBP
		DOCK11
		CHMP7
		PTGER1
		SMAD5-AS1
		EMR1
		KCNA4
		UG0898H09
		HP
		MRPL57
		HUS1
		ADAM29 /// LOC101928551
		LOC100506405
		C6orf1
		HIST1H4I
		STRIP1
		RP11-161D15.1
		DOK4
		KIF25
		LOC100131508
		LOC101929289
		AMELX
		C5
		GPATCH8
		UCN2
		IPO4 /// TM9SF1
		TANK
		PGLYRP1
		RCAN1
		SERPINB13
		SET
		WFIKKN1
		ASCL2
		SHH
		LAMTOR3
		LOC101928978
		RP11-454F8.2
		GPR135
		IGLVIVOR22-1 /// IGLVIVOR22-1
		LINC01282
		LBX1-AS1
		ENKUR
		ZDHHC22
		EMR2
		USH2A
		CTB-43E15.1
		EMC3-AS1
		FIS1
		RP11-10K16.1
		LOC101928751
		XCL1 /// XCL2
		SAFB2
		NCK2
		LOC100505817
		SIGLEC1
		ADD1
		AP006216.12 /// APOA1-AS
		PCED1A
		SERPINB3 /// SERPINB4
		ZFHX2
		CDK16
		KRTAP4-8
		EEF2K /// LOC101930123
		ANKHD1 /// ANKHD1-EIF4EBP3 /// EIF4EBP3
		TEKT2
		PROS1
		RP11-796E2.4
		MGC34796
		NRSN1
		AHCTF1
		ACTRT3
		VAT1
