Names	total	elements
		CALCOCO1
		KHDC3L
		ZNF776
		IGK /// IGKC
		ARSJ
		SDHA
		LOC645166 /// LOC654342
		CHST3
		SAT1
		HYAL1
		ABCA13
		C15orf61
		MEF2C
		RAP1GDS1
		SLC2A14 /// SLC2A3
		ORC3
		ZNF554
		AC017104.6
		ARV1
		SOX7
		HSPB8
		CD300C
		CTD-2520I13.1
		MIR1236 /// NELFE
		LOC102725382
		PRR24
		NUDT10
		BC069756
		LOC157273
		ODF1
		CCR9
		LNPEP
		XAGE1B /// XAGE1E
		CACNB3
		THAP11
		TMEM30B
		LOC286437
		ACRC
		FAM89B
		PI4KA
		TIPARP
		PKLR
		LINC00708
		HDGFL1
		SSX4 /// SSX4B
		PAX9
		PCP4L1
		CHD3
		ZMYND8
		LOC101927157 /// NIPAL1
		FANCD2OS
		ZNF609
		MIR1244-3
		NACC2
		TMEM74
		FAR2
		CC2D1A
		MAGT1
		NR2E1
		RP11-218I7.2
		SCUBE1
		IL17A
		RRAS2
		NRBP1
		SLC25A22
		RP11-196G18.24
		CLCN2
		TMEM8B
		TMEM14A
		POM121 /// POM121C
		LOC100507656
		LGALS3BP
		RP11-408I18.9
		LOC101927196
		PHF19
		GID4
		MPZL1
		ZNF296
		ND4
		LINC00029
		MIR424 /// MIR503HG
		SFMBT2
		SENP3 /// SENP3-EIF4A1
		TMEM169
		RRS1
		LAMTOR5-AS1
		LINC00561
		BTF3P13 /// BTF3P13
		C5orf20 /// TIFAB
		RDH16
		BRINP1
		LEMD3
		WDFY1
		LOC101928521
		JHDM1D-AS1
		IL6
		HMGB1P12 /// HMGB1P12
		LSS
		UBAP1L
		DAZ1 /// DAZ2 /// DAZ3 /// DAZ4
		BCAS4
		CTB-25B13.12
		RP4-781K5.2
		GNL3L
		PSG9
		CCR8
		DNMT3L
		UBE2S
		NIFK
		CSH1 /// CSH2
		CHP2
		ERP29
		CRYGD
		MRPL3
		LINC00528
		LILRB1
		FPGS
		KCNJ4
		SLC16A6
		LOC101929279
		LOC101929078
		LOC100130428
		SEPSECS
		CTAGE4 /// CTAGE8 /// CTAGE9
		LPA
		TUBA8
		LOC541472
		SLITRK5
		USP21
		LOC101928061 /// SERP1
		APH1A
		THAP7
		SLC7A9
		HTATIP2
		FXYD7
		HNF4A-AS1
		LOC101928861
		LINC01215
		CX3CL1
		LOC646522
		GPR50
		MYRFL
		ASB6
		CAPRIN2
		ABHD3
		DNAH9
		EIF4A1 /// LOC101928634 /// SENP3-EIF4A1 /// SNORA48 /// SNORA67 /// SNORD10
		TMCC1
		ITGA9-AS1
		FAM172A
		SRD5A3-AS1
		LOC101928100
		SPNS3
		C19orf84
		DUT
		IL21R-AS1
		LINC00052
		TRAC
		SOX2-OT
		CFTR
		EIF3L
		ARMCX6
		DUXAP10 /// LINC01296
		RP11-1151B14.3
		MEAF6
		KCTD14 /// NDUFC2-KCTD14
		AQP1
		IL7R
		NBPF10 /// NBPF14 /// NBPF26
		TXLNGY
		TTYH1
		CPSF3L /// MIR6727
		LA16c-83F12.6
		CD1E
		ZNF700
		SLC35A3
		VANGL1
		FLOT1
		LYRM4
		CSRP2
		AKT1
		LOC101927313
		TAS2R43 /// TAS2R45
		RP11-68I3.11
		RP11-119F7.5
		LOC388210 /// LOC400499
		VPS52
		LOC101928173
		TCP11L2
		KRTAP9-4
		COL6A1
		WNT4
		LOC101927552
		TDO2
		STRN4
		S100A7A
		KRT6B
		BOLA1
		LINC01426
		LOC102724364 /// SEC22B
		SIGLEC7
		AHNAK2
		SCN2B
		HAS1
		MIR4800 /// MXD4
		PPP4R4
		MIB1
		ICAM5
		LRP11
		URM1
		ACTG1P4 /// AMY1A /// AMY1B /// AMY1C /// AMY2A /// AMY2B
		RP11-248J18.3
		HCG8 /// ZNRD1-AS1
		LOC441601
		MPRIP-AS1 /// MPRIP-AS1
		CBR1
		ZNHIT6
		RXRB
		KRTAP4-12
		CTD-2537I9.5
		CYP39A1
		GZMM
		RP4-665N4.4
		CACNA2D1
		FNBP1L
		TRIM33
		SEC1P
		LOC441179
		PUF60
		RHOT1
		AC008746.12
		S1PR2
		RPL17 /// RPL17-C18orf32 /// SNORD58A /// SNORD58B /// SNORD58C
