Names	total	elements
		RTDR1
		IFI27L1
		ZFP3
		TBX5
		KATNAL1
		SLC15A4
		DHRS7C
		A3GALT2
		C1orf190
		IL17A
		C1orf52
		AOF2
		GSTT2
		FAM190B
		RCAN3
		WASF3
		STAG3
		ZP3
		C1QTNF4
		GPR183
		OR13C8
		RNF144B
		RPL14L
		TMEM16B
		FAM194A
		POLR2J2
		HLA-B
		EIF4A2
		ZNF28
		MIR874
		SUPT7L
		UGCGL1
		SDCBP2
		NTF5
		ELMOD1
		TRAPPC6B
		UNG2
		MIR548I4
		GLT8D2
		GUSBL2
		NKD1
		C3orf46
		NKAIN3
		PFKL
		FLJ31306
		SNTG2
		TRIL
		C12orf27
		TRPA1
		LCE2B
		EIF4E1B
		ZIC3
		RBMY1D
		CRABP2
		TLR7
		FCGR3B
		PDE6B
		HHLA1
		LRRC8B
		ZNF469
		GPR120
		ZMAT2
		LAP3
		WDR37
		NFXL1
		USO1
		GABBR2
		SHOX2
		FUK
		HCRT
		ZUFSP
		POLA2
		FBXL13
		REEP2
		C20orf179
		C7orf58
		NOSIP
		C9orf71
		ADORA2A
		APOB
		TMEM44
		DYM
		KIAA0853
		KSR1
		C2CD4C
		LUC7L
		RTN4RL2
		IRAK3
		C20orf71
		ABCB5
		RBMY1J
		PRSS3
		C1orf185
		MSTP9
		KIR2DS4
		FLJ25404
		SMURF1
		NPC1L1
		UBA6
		SOX8
		EIF2A
		UBAP2L
		PCDH8
		CRNN
		WSCD2
		CLYBL
		AQP5
		RPTN
		CSN1S1
		EMR4P
		SLC34A2
		RAB27A
		FAM65C
		OR4N2
		MYST2
		SDCCAG3
		DHRS2
CB	99	VSIG6
		DLEU7
		KBTBD8
		CCDC66
		SRRM4
		N4BP2L2
		PSG4
		ZDHHC11B
		TNRC18
		ZNF677
		TMEM38A
		EEF1D
		METT11D1
		C6orf100
		CALCR
		OR2A25
		FSIP2
		PLEKHJ1
		MKX
		WRNIP1
		TSPAN3
		CALB1
		OR4C46
		ABL2
		TRIM37
		ZNF566
		SMPD1
		SHANK1
		ANKRD11
		NDUFA4
		TINAG
		C6orf78
		KRI1
		EXOSC8
		DALRD3
		GPATCH1
		SERPINB1
		MUL1
		TNFRSF1B
		C9orf127
		CDK5R1
		CAMK1D
		XG
		FBXO4
		PHACS
		TRAPPC2P1
		RBM43
		HIST2H3C
		HSD17B10
		TTC37
		MIR132
		HOXD13
		IL27RA
		MIR1197
		DNAJC11
		MIR614
		CSNK2B
		ARR3
		KLK4
		LRCH4
		PAPD4
		TINAGL1
		PTGIR
		DAG1
		NAP1L1
		NCRNA00200
		EI24
		C10orf2
		CTSE
		CD163L1
		MAP2K7
		SLC25A36
		C14orf118
		UMOD
		SNORA31
		ANKRD53
		TDRD7
		VGF
		VNN2
		TEX15
		ENPP3
		CAPZB
		PHLPP2
		GDF6
		SNORD1A
		NECAP2
		CFHR4
		COQ3
		CCK
		BCOR
		FLJ42953
		FBXW5
		ZNF302
		LPAR5
		EDC4
		OR8U8
		CABLES1
		FXYD3
		GALNTL5
EC	1688	CREB3L1
		NARG2
		C10orf25
		MTERF
		PRSSL1
		PDCL3
		SALL1
		OTOP2
		CFHR5
		HIST1H4J
		SLC26A1
		ANAPC4
		EPN2
		PROSC
		PIR
		SRPK1
		HERC2P2
		RPL7A
		NAT10
		CTAGE5
		SLC22A2
		MIR451
		WDR34
		C20orf27
		CRYGC
		EFNB1
		LIPN
		C4orf11
		KIAA1609
		COL1A1
		ISL1
		C1QTNF3
		Septin 6
		MANEA
		PRDM2
		PDCD4
		CST7
		C10orf125
		VWA5A
		STK17A
		LRRC33
		C19orf43
		PODN
		ANKRD20A3
		UFM1
		MAOA
		GYPC
		EIF1
		FPGT
		FAM90A6P
		PREP
		RFX3
		CHMP1B
		PMM1
		KLHL30
		LRAP
		DRD3
		AIPL1
		HPCA
		C4orf29
		MIR2053
		FAM110C
		ERBB2IP
		EMX2
		CD6
		FTMT
		COG1
		DNAL4
		ALAD
		IPP
		ZNF452
		TSPAN7
		MTX1
		NME1-NME2
		DDHD2
		UPF3A
		C20orf118
		MAPK10
		C13orf18
		C14orf149
		OR4C13
		GNG12
		ECEL1
		MIR153-2
		MUTYH
		C21orf59
		KRT222
		UBE2L6
		EPGN
		PALM2-AKAP2
		NFYA
		KIF14
		HEATR5B
		C21orf34
		KIAA1012
		RPL4
		UBE2N
		GLYATL2
		LSMD1
		ACAD11
		PAQR4
		DNAJC30
		KIF19
		DUS4L
		KIF25
		RDX
		PHB2
		ADCY3
		MRTO4
		NDUFB8
		P2RX6P
		PSTK
		C5
		NBPF16
		CMA1
		PMVK
		RNF7
		C11orf17
		MIR571
		PGLYRP1
		OVCH2
		SNORD36B
		GTF2IP1
		TNFRSF1A
		FLJ13224
		TNNT2
		ICA1L
		ARHGAP25
		CA9
		OTUD7A
		APOA2
		TTC3L
		KIAA0319L
		APOBEC3A
		C5orf56
		NCF1
		PPID
		HNRNPK
		ELF1
		KCNV2
		CLPS
		C1orf107
		PARP4
		TOR2A
		HSCB
		ANP32A
		CLDN10
		TRPC1
		DNAJC1
		RRAGC
		C20orf51
		C15orf34
		WIF1
		DGKQ
		ALG9
		GPRIN2
		FAM90A19
		MSTO2P
		WDR42C
		CSRP2BP
		EPB41L3
		CDKN2B
		SRRD
		PROS1
		PSMB8
		ELL
		TBCCD1
		NRSN1
		C2orf69
		CCDC14
		NSUN5
		KRT33B
		THEG
		KRT34
		ARSA
		FOLR4
		SPTLC3
		TOMM22
