Names	total	elements
		B3Gn-T6
		OR1I1
		AGGF1
		MAK16
		UGT2B4
		ARHGAP15
		PBEF1
		GABRQ
		DUX1
		SLC9A3R1
		C1orf141
		ANKLE2
		NKTR
		HBG2
		STAT5A
		KIAA0892
		ADRA1A
		TUBA3E
		C14orf166B
		KIAA1772
		AKR7A3
		BST1
		ACTR5
		MYEOV2
		GATA1
		IL17C
		UBL7
		CSRP3
		PXMP2
		DHFR
		MAD2L1
		PTPRH
		E4F1
		CHMP2B
		SNORD76
		RDH8
		ACO2
		XCR1
		SERTAD2
		ARID5A
		PSORS1C3
		ZNF672
		RIMBP3
		PLXNB3
		TMCO7
		MAGEB6
		NRF1
		SETD8
		FLJ41423
		PGM2L1
		ASTE1
		UNC5CL
		PAQR4
		GNAO1
		BTK
		STRC
		TRAF7
		TJP3
		PFKL
		C4orf35
		SNORD26
		TRAF2
		PARG
		C6orf62
		SCARNA8
		FXYD2
		DISC1
		SCN3A
		NUAK1
		PPM1H
		CDSN
		TBX21
		LRTM1
		KCNJ6
		FMN1
		FLJ31306
		CARD14
		RTEL1
		LGALS7B
		AHRR
		PDAP1
		SPCS3
		NDUFA13
		ZNF286C
		DEF8
		EIF4E2
		C1orf165
		TPT1
		C8orf13
		SOX9
		S100A3
		CCDC113
		RRP7B
		MRPS28
		LBXCOR1
		ST7OT2
		MIR452
		SNTG2
		FOXL1
		IL28B
		BCKDK
		ZNF568
		CHRNB1
		UMPS
		ADCY3
		EHBP1L1
		CMYA5
		FETUB
		LIN28B
		RCP9
		MRTO4
		FLJ45983
		MS4A13
		OR2H1
		NGFR
		SRMS
		KLHL10
		ATP8B4
		CRYBB3
		WNT6
		PAQR3
		NCAPD3
		MGC16121
		CPVL
		SNORA38B
		NBPF16
		CENPL
		FYN
		FOXD4L6
		SNORD91A
		KRTAP6-2
		GTF3C5
		SPACA1
		C17orf45
		AP4M1
		KIAA0261
		SGK1
		TNFAIP8L3
		KIF4A
		C6orf168
		TFE3
		NXF4
		SNORA11C
		SNCAIP
		CYB561
		IL8
		SERPINB13
		SET
		DNAJB4
		BRSK1
		NAB2
		MIR519D
		AGXT2L1
		FLJ20309
		HIST1H3E
		HSFY2
		FKBP1P1
		SNORA18
		PPOX
		CENTB2
		DPYSL4
		C8orf62
		TERF2
		KANK3
		PANK1
		C12orf27
		BRI3P1
		RGPD2
		FTSJD1
		MCFD2
		ICA1L
		FAM131C
		EIF2B2
		NHP2L1
		Z10
		TRPA1
		FAM81B
		VAX1
		CCDC60
		ACBD7
		TALDO1
		IMPAD1
		UBE2D3
		MIR891B
		TRIM63
		EHD2
		C4orf7
		NEFL
		C6orf52
		TMEM69
		TMEM185B
		CLK3
		C22orf37
		ATXN7
		ARD1B
		UBE2J1
		BTBD9
		FCAR
		SFRS10
		LCE2B
		GCGR
		C1GALT1
		RUNX1T1
		HHIPL1
		EIF4E1B
		MIR567
		KIAA0652
		PSMD2
		CHTF18
		UGT2A3
		C11orf61
		SOST
		CCDC144A
		HPCAL4
		ARHGAP12
		MIR138-2
		C1orf91
		SMS
		BCS1L
		MAPK7
		BCAS2
		OR4F17
		TAF1D
		CNFN
		CSPG4LYP1
		SPSB2
		TMOD2
		SLC44A5
		FAM107B
		DMXL1
		SNORD93
		BMS1
		PAGE2
		CALCOCO2
		RAMP3
		GRTP1
		ZKSCAN1
		NR1D2
		ARS2
		HRAS
		C13orf27
		ARSK
		TTTY18
		OTOF
		PLAC8L1
		LYZL6
		PHPT1
		BCAR3
		DRP2
		DHCR7
		DEFB121
		SRRD
		CLLU1
		VEGFA
		LIMS1
		FAM89A
		CDH11
		NDC80
		AIF1L
		BAT2D1
		THSD1P
		C1orf201
		ZIC3
		EOMES
		MAN2C1
		MPDU1
		ZNF713
		PCDHB13
		OR2A7
		SRRM1L
		SPATA2
		MYC
		WDR26
		KRT34
		FLJ43080
		ARSA
		BIRC2
		TOMM22
		EVX1
		BHLHB3
		ACAA2
		MALL
		FLJ30719
		PPAPDC1B
		MAPK8IP2
		CGRRF1
		POU3F2
		RSPH3
		C10orf33
		SPIC
		OR6C4
		PFN4
		ARID1B
		WNT10B
		PLOD2
		RPS24
		FLJ42258
		C1orf125
		C12orf48
		NLRP9
		E2F7
		C17orf93
		GBX2
		PWWP2A
		ABT1
		GPR81
		FAM91A1
		MIR670
		ASAH2B
		SH3GL1
		C14orf129
		SNORD62B
		RALB
		MBD2
		VPS37B
		TSPAN31
		PCDHGA4
		KIF5C
		ADAMTS17
		NUDT16
		C1orf156
		APOM
		TMEM205
		FAM125A
		PIAS1
		RHBDL1
		FLJ14213
		CPZ
		NCOA6
		STH
		ZC3H14
		ALDH5A1
		COL8A1
		SEC61A1
		SERPINA4
		RBMY1D
		DDX50
		ANAPC10
		C1orf9
		TBPL2
		KRT86
		GABRA1
		MIR1274A
		SETD3
		SLAMF6
		C9orf93
		OR2T5
		MIR326
		KCNQ1
		EPCAM
		GCDH
		HSD17B7P2
		SSFA2
		SFTPA1
		SPAST
		XKR3
		GRID1
		FHOD3
		C20orf135
		SNORA71D
		EBP
		CCDC47
		MRPL22
		GPBP1
		CCDC129
		C2orf48
		DPPA2
		OR5T2
		FGFBP1
		TBC1D16
		DNAJB11
		NAP1L1
		PTDSS1
		MGC27121
		C10orf119
		POT1
		ASPN
		OLFM2
		FATE1
		SMOC2
		DCAF12L2
		ARMCX3
		ARHGDIB
		HFM1
		ANXA2
		C4orf45
		GPR155
		GSG1L
		MCF2L
		ACSS3
		RWDD2B
		SYNPO2L
		DACT2
		ABCD3
		HDDC2
		C4orf41
		SHC2
		HNRPA1P4
		FLJ37307
		CGREF1
		INPPL1
		IRAK1BP1
		ATP6V1F
		CCDC94
		SP7
		AMPH
		SNORD61
		EIF2AK2
		ZNF664
		AP1S3
		WNT1
		GPC4
		IDO1
		AMAC1
		COX16
		BPGM
		SLC23A1
		GFPT1
		PPP1R15A
		ME2
		C1orf96
		GRM3
		EGFL8
		WDR61
		GPIHBP1
		MIR1179
		CALML5
		GRAMD1B
		SERPINB8
		SIRT7
		SIAH2
		ATP11B
		TMED3
		FBXO34
		D21S2056E
		MIR302C
		HOTAIR
		CSDC2
		VSTM2B
		FLJ45832
		MIR1269
		TRMT1
		ZNF409
		SLC29A4
		PRKCZ
		EIF5B
		Septin 7
		MRAS
		IL20
		IFNA7
		CRABP2
		RINT1
		SNORD9
		ACTR3B
		C1orf173
		ORC1L
		IL17RD
		ACADM
		ZNF365
		KCNQ4
		SLC22A23
		RTN4IP1
		BBS9
		USP15
		CEND1
		CR1L
		ZDHHC7
		FLCN
		MPZ
		SLC5A7
		FLJ37453
		C14orf39
		RAET1K
		NGEF
		MT1E
		RNASE13
		HS3ST3B1
		IFT172
		GFOD1
		ADAM29
		GDNF
		C15orf26
		ELFN2
		TRPC5
		YAF2
		CGI-96
		tAKR
		MIER2
		KIDINS220
		OR5K4
		MAPK1
		C14orf133
		IRX4
		HDHD1A
		LCLAT1
		FNIP2
		APBB3
		TSKS
		HOXD12
		RPL13L
		SNORD90
		FLJ16779
		GNG3
		ZNF793
		RAD9B
		VPREB1
		C20orf85
		PDCL
		KRT4
		NAE1
		MOGAT3
		POTEF
		RTP2
		TMEM166
		PKD1P1
		DYNC1LI1
		C8orf46
		IQCE
		FASTKD5
		KIAA0182
		GAFA1
		RAB2B
		RASL12
		THOC4
		MYEOV
		TYK2
		FLJ43826
		GBE1
		CARD10
		MRPL13
		FARP2
		ZNF706
		C6orf185
		MYLK
		RRP1
		CXCR3
		DPY19L2P1
		LRFN1
		ZNF317
		AKAP6
		FAM150A
		SRPX2
		FLJ12355
		MGC35030
		KIAA0391
		CELA3B
		ZSCAN21
		TMEM196
		CREB1
		PRICKLE4
		TLR7
		C6orf222
		C7orf68
		ARHGEF15
		FAM22F
		RASA2
		PDLIM4
		C4orf32
		psiTPTE22
		UPB1
		GIMAP4
		DHX38
		FAM132A
		TMIGD1
		PDGFA
		TARS2
		ANKHD1
		NAT5
		FKSG29
		PDP2
		CGB
		IL4
		SMARCA4
		SLITRK3
		TPSB2
		GPATCH3
		POU6F2
		MIR1272
		GCOM1
		ZDHHC20
		SNORD6
		OPCML
		ALDH16A1
		PALMD
		M160
		MINPP1
		CCL3L1
		MEOX2
		STK31
		KIR2DS2
		PSMD6
		C10orf137
		C18orf55
		SHISA4
		SEC61G
		QTRT1
		CSNK1A1P
		DEFB115
		ERCC-00043
		TCEB3CL2
		BIN2
		TNKS1BP1
		DEGS1
		TBL1XR1
		EVI2B
		C9orf31
		SLC25A11
		EHD4
		CELA2B
		MIR638
		SCARA3
		EMP3
		HBE1
		NELF
		TMEM167A
		HBBP1
		MYOC
		SCN1B
		XKRY2
		ESCO1
		FLJ35894
		ARMCX1
		LUZP5
		ABCC5
		TCAP
		TRNT1
		RBBP7
		PTPRG
		MCHR2
		PRDM10
		MAP2K7
		LY6G6F
		FCGR3B
		SNRNP25
		SLC6A8
		SAMD6
		MKL2
		MC2R
		TBX3
		STIP1
		ARPP-21
		UBTFL2
		LRRCC1
		C11orf45
		PAAF1
		BARHL1
		ZNF121
		OR13A1
		IKZF4
		FLJ16165
		IMAA
		TRIOBP
		HSPE1
		MBTPS2
		FAM47A
		GSPT1
		RGL2
		GUSB
		BTF3L1
		DMRT2
		NID2
		C1orf120
		CRELD1
		MIR652
		C5orf30
		TTC29
		FLJ32867
		PRKRIP1
		PDE6B
		FUCA1
		DLGAP3
		MRPS16
		KRT18
		KCMF1
		MFAP2
		WWC3
		FLJ25758
		MCM4
		C16orf57
		C14orf115
		STRA6
		SPTBN2
		RBMS2P
		SPA17
		DDX43
		C21orf7
		P2RX2
		KIAA0895
		DKFZp686K1684
		OR5D18
		TRIM28
		C22orf32
		FGF5
		BARX1
		CETP
		MTMR15
		VWC2
		ANKLE1
		KIAA1731
		GUCY2F
		NSMCE1
		ILDR1
		GRIK3
		METAP2
		SHRM
		STXBP4
		INHBE
		ST3GAL4
		CDCA1
		MRGPRE
		HHLA1
		C6orf66
		RHOJ
		SNRNP35
		CDC37
		FAM163B
		FAM7A2
		IDH3G
		FAM9A
		MAPRE2
		LRRC8B
		ZNF26
		KIF13A
		NR2F6
		TMEM218
		DKFZP434P211
		ZNF396
		SOX6
		HIST1H2AB
		MIR1226
		RABEPK
		TDRD6
		RP11-49G10.8
		C14orf173
		TMEM14D
		SMTN
		CAMTA2
		DDX17
		PTGES2
		TIGA1
		CYP17A1
		NCRNA00028
		C19orf35
		GAS1
		FLJ13305
		CC2D2B
		TIPRL
		C5orf60
		OR5B17
		KTELC1
		BFSP1
		UBE2Z
		FECH
		CAPSL
		RNASE1
		NR2C1
		VCAN
		ADAMTS3
		ZDHHC21
		C16orf58
		SNORD99
		MKI67
		ASH2L
		C7orf54
		NHS
		SNORD3C
		ADAP2
		LHFPL5
		KANK2
		TAF8
		MGC62100
		C14orf43
		MIR140
		LAMB2L
		CCDC21
		SLC41A1
		PRRG3
		SAA4
		PSMC5
