Names	total	elements
		FLJ36848
		BSX
		TEX14
		TINAGL1
		ZXDC
		MRPL9
		RAB4B
		SNX29
		MYOCD
		PTGER4
		NAP1L1
		FKBP8
		ZNF548
		CRADD
		TTC19
		SLC27A6
		DTX2
		SIRT7
		ZMYND19
		RLBP1L1
		TBCEL
		FAAH2
		MMD2
		NARF
		DNAJC5G
		FAM25A
		GPR128
		LCN10
		TRDMT1
		C2orf43
		TUSC3
		TNKS1BP1
		WNT11
		FAM179B
		F2R
		MAP2K7
		FCGR3B
		RNU1F1
		COPS3
		RAX
		OR2F1
		TP53I11
		SAA1
		PRAMEF20
		ZNF26
		CXorf48
		HKR1
		HCG8
		DCAF10
		SCO2
		ATXN1
		FLJ40672
		SPRY4
		NUAK2
		ANO8
		ZNF620
		TUBB8
		MIR505
		VGF
		TOLLIP
		FUK
		CYP8B1
		RBM25
		ME1
		PPARGC1B
		SIVA1
		CCDC148
		C11orf70
		HSPB9
		PYCARD
		ENPP3
		CAPZB
		PDLIM5
		C16orf53
		SMNDC1
		C14orf48
		MEF2D
		FGL2
		CTNND2
		KRTAP9-3
		TFDP3
		DOCK2
		FBXL6
		SSH2
		EXOC5
		ALPK3
		FBXO8
		MIR135A2
		BASP1
		FAM46B
		MIR382
		UBE2QP2
		C7orf69
		CYP2U1
		MAGEB18
		LAIR2
		FLJ44653
		HLA-E
		LMLN
		NDUFS8
		ERCC-00154
		FKSG44
		RAD9A
		NDST4
		ADAMTS9
		HIST1H2BC
		TSC22D3
		TANC1
		DHX40
		DCTN3
		FAM27A
		TNNC1
		HSPA4L
		SNORD58C
		TADA3
		DNALI1
		TCEA2
		INGX
		C4orf38
		FAM116B
		RGL3
		ZNF221
		SLC44A1
		IRAK3
		FRAT2
		CD300LG
		VPS37D
		C1orf210
		TMEM55B
		SIN3A
		NAPEPLD
		SLC5A9
		SIT1
		DNAJC12
		TRERF1
		SEC22B
		ERCC3
		RAB36
		PFDN5
		SLC10A2
		DHRS3
		PRB3
		CLASP2
		CHMP4B
		GALNT4
		ELOVL4
		CCDC72
		C9orf64
		PCDHGA2
		OGT
		MMP28
		SLC11A2
		ERCC-00077
		TBCC
		KCNJ1
		PLK2
		UGDH
		GSX2
		MEIG1
		AAMP
		MESTIT1
		GSTT2B
		EXPH5
		KIAA1671
		TNFSF13B
		VHLL
		RHOB
		GNAQ
		IGDCC4
		SPIRE1
		HK2
		RASSF2
		ZNF14
		C21orf125
		STAG3L1
		MIR181A1
		SEMA3D
		MAPKSP1
		SNHG10
		TMEM144
		C1orf117
		RAD17
		YLPM1
		KIAA0194
		OR52R1
		FAM124B
		SLC26A5
		SLC45A3
		BCCIP
		HNRNPA3
		RGMA
		CCT5
		RAB27A
		EYA4
		CNP
		UBP1
		ADAMTS10
		OR2T35
		FAM80B
		METTL3
		VPS13C
		CAPN7
		HSPC268
		CXCL16
		LGR4
		CCDC58
		CSF2
EC	1735	CREB3L1
		ITGA5
		NMBR
		KRTAP10-8
		MTERF
		PRSSL1
		SALL1
		NAGPA
		OTOP2
		CFHR5
		NTRK1
		MMP7
		EP300
		TBX10
		MIR515-2
		ZNF446
		SLC26A1
		OR5L1
		CCDC97
		SFTA2
		PROSC
		PIR
		SRPK1
		C7orf44
		CTAGE5
		SLC22A2
		WDR34
		GABPAP
		CACNG5
		SLC12A4
		C14orf85
		DKFZp434E1119
		CRYGC
		LIPN
		C4orf11
		PHLDB3
		USP6NL
		RELT
		ROCK2
		DIMT1L
		LRGUK
		ELANE
		RBM17
		Septin 6
		PRDM2
		PDCD4
		CST7
		C10orf125
		ARHGEF9
		STAU2
		VWA5A
		STK17A
		NCOR2
		ANKRD20A3
		MAOA
		PSMG4
		PLEKHG4
		SYT13
		FPGT
		B3GNT7
		CHMP1B
		KLHL30
		LRAP
		INTS1
		MMP16
		DRD3
		AIPL1
		HPCA
		MIR2053
		FAM110C
		CARD8
		ERBB2IP
		FTMT
		COG1
		PWP2
		DNAL4
		C1orf157
		SNX6
		TFR2
		SPTBN1
		NCDN
		ZNF452
		TMEM104
		TSPAN7
		UNQ9433
		PAQR8
		DDHD2
		THAP1
		GRIK2
		IGSF11
		GNRHR
		CHST6
		UNC13B
		ZNF687
		C20orf118
		MAPK10
		C14orf149
		OR4C13
		C1orf58
		GNG12
		C17orf85
		CHRM1
		CAPN12
		BAGE4
		ECEL1
		SRD5A2L2
		EPHA4
		TMEM11
		HDHD2
		HSPC157
		SLC9A3
		PTGER1
		ETV2
		PTPRH
		EIF4A3
		RPS21
		FLJ41423
		PARG
		DNAJC30
		CD151
		RDX
		DNAJC9
		PHB2
		ADCY3
		FETUB
		MYF5
		P2RX6P
		C1orf203
		CPVL
		FLJ41841
		SNORD91A
		FAM22G
		PI15
		RNF7
		TFE3
		C11orf17
		NXF4
		SNORA11C
		PGLYRP1
		OVCH2
		OR11L1
		MIR1909
		SNORD36B
		THPO
		TACR2
		FKBP1P1
		RAB20
		JAK2
		FLJ13224
		TNNT2
		PLA2G4C
		ARHGAP25
		OTUD7A
		RPS29
		KIAA0319L
		APOBEC3A
		NCF1
		PFTK1
		SNORD113-3
		HNRNPK
		KCNV2
		CLPS
		KDELR1
		PARP4
		CD83
		VPS16
		DNAJC25
		C18orf58
		TOR2A
		ANP32A
		CLDN10
		DNAJC1
		CCDC144A
		ASZ1
		C20orf51
		TAF1D
		C15orf34
		FBXO3
		CMKLR1
		ALG9
		FAM90A19
		MUC20
		FAM122B
		ANKRD20B
		FBXL5
		TTTY18
		RBP7
		CSRP2BP
		EPB41L3
		ZNF480
		PSMB8
		OR2L13
		ELL
		TBCCD1
		NRSN1
		CCDC14
		COG8
		KRT33B
		THEG
		ARSA
		FOLR4
		ULBP1
		BHLHB3
		OR1B1
		MCAT
		RPLP2
		FGF22
		ISCA1
		ZFP1
		IL1RAPL1
		CEMP1
		C17orf93
		TSTD1
		MBD2
		MRPL37
		ADAMTS17
		C20orf107
		CBX2
		ZNF75D
		KRT86
		SLAMF6
		GPR110
		CKS2
		SLC22A3
		EFR3B
		MIR152
		PES1
		AVL9
		RFK
		FER1L6
		TRIM24
		PLXNA4
		ERCC-00046
		ARHGDIB
		STK24
		DNAJB13
		FAM73B
		FLJ25037
		GRM3
		GALIG
		FLJ32955
		ANKRD18B
		C21orf87
		SIGLEC15
		FAM19A5
		F13A1
		PIK3C2B
		PPP1R2P9
		HACL1
		NARG1L
		BLMH
		DUPD1
		KIAA0513
		AGRN
		MIR765
		C14orf133
		TLR10
		APBB3
		KC6
		LRP1
		RXFP4
		BIRC6
		KBTBD9
		DSCR5
		MDM2
		C11orf66
		SDF4
		TAP2
		DEFB134
		THSD7A
		NDST3
		RAB2B
		SNORD114-1
		FMO6P
		CLASP1
		SNORD50A
		SOD1
		MAPKAPK3
		C12orf5
		TWISTNB
		NUDT8
		PCNP
		ZSCAN21
		C7orf68
		UGT1A7
		UPB1
		SERPINA11
		ROPN1B
		NAT5
		CD28
		RPS6KA4
		ZNRF3
		TTRAP
		RGS11
		HRES1
		ATP6V0C
		KCNG3
		GOLGA2LY2
		TBL1XR1
		ANKRD36
		KLF5
		GABRP
		CPA3
		PVALB
		FAM90A8
		NRG3
		GSC2
		GIF
		LPCAT4
		ARMCX1
		HCFC2
		PLEKHG5
		C14orf93
		LRRC26
		C21orf93
		MIR620
		TAF11
		FLJ35740
		TRIOBP
		MBTPS2
		CMTM4
		HIST1H3C
		GDF11
		FBXO47
		CD247
		CDAN1
		OIT3
		ZBTB10
		ZNF585A
		MCC
		IFT88
		KLHL31
		PRAMEF6
		ZNF160
		ZNF688
		PWP1
		DGCR14
		METAP2
		NUMB
		C6orf66
		CANT1
		CCDC96
		C21orf33
		HEATR6
		GRK4
		BRE
		FAM9A
		SEC14L2
		SOX6
		CIRH1A
		C11orf74
		IRGC
		C19orf35
		PEG3
		SGSH
		ZNF263
		PLG
		CRIP1
		CYP27C1
		JARID1A
		BRMS1L
		TMEM16C
		SHPK
		RGS12
		KIAA0125
		SLC41A1
		DKFZp434I1020
		PPP4R2
		SUGT1L1
		CASKIN2
		ZMYM2
		NEURL
		CHCHD6
		PHKG1
		CHADL
		ZNF567
		MAGOH
		GPC3
		CACNG1
		SLC46A3
		PTRH2
		STAMBP
		TMEM50A
		OTC
		TAAR1
		PER1
		RND2
		ZIM3
		WFDC10B
		LMCD1
		FAM46C
		DUS1L
		CSAG3A
		TMEM183B
		SLC25A45
		RIMKLA
		TUBGCP5
